domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Technology,Uttar Pradesh,Semi-Urban,High,5,148,1,3,18,0,3,8,1
Business,Bihar,Urban,Medium,0,0,0,15,12,7,4,4,1
Data Science,Gujarat,Urban,High,6,105,5,8,20,0,1,1,4
Skilled Trades,Gujarat,Rural,Low,0,0,0,17,7,25,0,2,1
Data Science,Punjab,Urban,Medium,3,96,1,8,21,0,3,2,2
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,9,3,22,4,5,1
Creative Arts,Karnataka,Urban,Medium,1,0,0,5,11,5,1,4,1
Business,Gujarat,Urban,High,0,0,1,5,10,3,1,5,4
Social & Community Work,Rajasthan,Urban,High,0,0,0,9,6,16,3,3,2
Technology,Delhi,Urban,High,9,151,1,4,20,1,2,0,3
Social & Community Work,Odisha,Urban,High,0,0,0,10,13,19,0,6,2
Business,Delhi,Semi-Urban,Medium,0,0,0,9,11,3,2,3,3
Social & Community Work,Other,Urban,Low,0,0,0,12,12,18,2,2,3
Data Science,Punjab,Rural,Medium,5,98,2,6,14,0,4,5,1
Business,Delhi,Semi-Urban,Medium,0,0,1,13,13,5,4,5,1
Data Science,Rajasthan,Rural,Medium,7,115,5,6,20,0,4,3,2
Social & Community Work,West Bengal,Urban,High,0,0,0,13,9,9,2,3,1
Creative Arts,Gujarat,Urban,High,2,0,0,11,5,4,6,1,4
Creative Arts,Uttar Pradesh,Urban,Medium,3,0,0,6,7,4,2,1,4
Data Science,Bihar,Rural,Low,6,87,4,6,17,0,2,4,2
Skilled Trades,Madhya Pradesh,Rural,Medium,0,0,0,14,7,17,3,1,2
Technology,Gujarat,Urban,High,10,143,3,5,9,0,4,0,2
Business,Maharashtra,Urban,High,0,0,0,3,10,1,4,7,1
Data Science,Telangana,Urban,High,4,98,3,9,17,0,4,1,3
Social & Community Work,Maharashtra,Semi-Urban,Medium,0,0,0,10,8,19,4,3,4
Business,Karnataka,Urban,High,0,0,1,7,6,1,3,3,0
Technology,Tamil Nadu,Urban,High,7,142,2,3,19,2,0,0,6
Business,Odisha,Semi-Urban,Medium,0,0,1,8,12,2,4,2,1
Data Science,Madhya Pradesh,Urban,High,5,103,4,6,25,0,3,4,1
Business,Bihar,Rural,Low,0,5000,1,0,0,2,6,2,3
Business,Karnataka,Urban,High,0,0,1,13,10,2,3,5,2
Technology,Uttar Pradesh,Rural,Medium,5,143,0,3,12,1,3,4,2
Creative Arts,Maharashtra,Semi-Urban,Medium,0,0,0,12,7,7,0,3,2
Business,Other,Urban,High,0,0,0,9,6,1,2,2,0
Business,West Bengal,Urban,High,0,0,0,9,10,1,1,4,3
Business,Tamil Nadu,Semi-Urban,Medium,0,0,0,4,9,2,3,2,2
Business,Punjab,Rural,Medium,0,0,3,7,6,3,1,5,1
Creative Arts,Other,Urban,High,0,0,0,11,12,3,3,1,2
Social & Community Work,Bihar,Semi-Urban,Low,0,0,0,3,8,13,0,6,1
Business,West Bengal,Urban,High,0,0,1,12,13,2,1,2,2
Social & Community Work,Telangana,Urban,Medium,0,0,0,12,7,16,0,0,1
Social & Community Work,Karnataka,Urban,Medium,0,0,0,12,0,12,3,0,3
Technology,Telangana,Semi-Urban,Medium,3,149,2,7,9,0,4,1,1
Skilled Trades,Maharashtra,Rural,Medium,0,0,0,14,3,16,3,7,1
Data Science,Punjab,Urban,Medium,5,95,1,3,25,0,4,0,1
Technology,Other,Rural,Low,9,137,4,7,12,0,6,2,4
Social & Community Work,Rajasthan,Urban,Medium,0,0,0,11,10,17,1,2,2
Creative Arts,Rajasthan,Urban,High,1,0,0,15,12,5,0,5,1
Creative Arts,Uttar Pradesh,Semi-Urban,Medium,0,0,0,12,9,8,2,2,0
Business,Other,Urban,High,0,0,0,6,12,0,5,2,3
Business,Delhi,Semi-Urban,Medium,0,0,0,6,6,0,5,5,1
Business,Rajasthan,Semi-Urban,Medium,0,0,0,9,13,1,1,3,4
Creative Arts,Bihar,Semi-Urban,Low,0,0,0,9,13,6,3,1,2
Social & Community Work,Gujarat,Semi-Urban,Medium,0,0,0,13,9,16,2,5,3
Social & Community Work,West Bengal,Semi-Urban,Medium,0,0,0,14,11,12,4,3,2
Technology,Telangana,Rural,Low,14,153,2,11,10,1,4,3,1
Creative Arts,Gujarat,Semi-Urban,High,2,0,0,12,12,0,6,1,1
Business,Tamil Nadu,Rural,Medium,0,0,0,10,5,2,2,4,2
Data Science,Gujarat,Semi-Urban,High,6,93,6,5,16,0,6,3,2
Skilled Trades,Karnataka,Semi-Urban,Medium,0,0,0,11,2,28,3,1,1
Data Science,Delhi,Urban,Medium,4,124,3,8,6,0,1,2,1
Technology,Telangana,Urban,High,7,148,1,3,11,2,4,1,3
Technology,Karnataka,Rural,Low,8,149,1,6,7,1,1,1,3
Technology,Karnataka,Semi-Urban,Low,7,139,0,4,22,1,4,5,3
Data Science,Telangana,Urban,High,4,94,0,3,16,0,2,2,1
Skilled Trades,Gujarat,Rural,Low,0,0,0,16,9,22,2,3,5
Social & Community Work,Telangana,Semi-Urban,Medium,0,0,0,9,5,11,4,5,3
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,18,5,22,1,2,2
Skilled Trades,Bihar,Rural,Medium,0,0,0,14,4,20,6,6,2
Creative Arts,Madhya Pradesh,Urban,High,0,0,0,13,12,7,3,0,3
Technology,Delhi,Rural,Low,10,159,2,6,8,1,7,3,1
Business,Rajasthan,Urban,High,0,0,0,13,4,1,2,3,3
Business,Odisha,Semi-Urban,Medium,0,0,1,8,11,1,4,2,3
Creative Arts,Kerala,Semi-Urban,Medium,2,0,0,5,7,7,4,6,2
Technology,Karnataka,Semi-Urban,High,8,131,6,5,19,2,5,3,1
Business,Gujarat,Rural,Low,0,0,0,11,11,1,0,3,4
Technology,Maharashtra,Semi-Urban,High,7,149,1,5,11,2,3,4,0
Data Science,Tamil Nadu,Semi-Urban,Medium,5,86,0,6,26,0,1,2,2
Business,Maharashtra,Rural,Low,0,0,0,7,9,3,6,6,2
Data Science,Uttar Pradesh,Semi-Urban,Medium,9,97,2,7,15,0,1,4,3
Skilled Trades,Delhi,Semi-Urban,Medium,0,0,0,14,6,17,1,3,4
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,19,5,36,0,3,5
Skilled Trades,Maharashtra,Urban,High,0,0,0,15,5,18,5,10,4
Creative Arts,Kerala,Rural,Low,0,0,0,12,8,4,1,3,1
Skilled Trades,Tamil Nadu,Urban,High,0,0,0,16,9,11,1,3,2
Technology,Karnataka,Rural,Low,6,163,4,10,21,1,4,2,0
Skilled Trades,Punjab,Urban,High,0,0,0,20,6,19,1,1,3
Technology,Tamil Nadu,Rural,Low,10,155,2,4,13,1,4,2,2
Data Science,West Bengal,Urban,High,7,89,2,5,20,0,2,5,1
Social & Community Work,Maharashtra,Semi-Urban,High,0,0,0,8,10,14,2,2,5
Social & Community Work,Odisha,Semi-Urban,Low,0,0,0,8,7,17,3,3,3
Data Science,Rajasthan,Rural,Low,7,118,3,5,22,0,4,4,2
Skilled Trades,Karnataka,Urban,High,0,0,0,18,2,17,1,2,4
Business,Gujarat,Urban,High,0,0,0,8,6,1,2,3,4
Creative Arts,Bihar,Rural,Low,1,0,0,10,11,4,1,4,2
Skilled Trades,Tamil Nadu,Semi-Urban,Low,0,0,0,16,5,20,4,0,3
Skilled Trades,Other,Urban,High,0,0,0,13,6,14,0,2,3
Creative Arts,Bihar,Semi-Urban,High,0,0,0,13,10,5,5,1,2
Technology,Kerala,Semi-Urban,Medium,8,141,1,2,12,1,4,2,4
Creative Arts,Punjab,Urban,High,2,0,0,14,10,8,3,8,3
Business,Uttar Pradesh,Rural,Low,0,0,1,14,11,6,3,2,1
Business,Maharashtra,Urban,High,0,0,1,6,7,3,2,3,3
Skilled Trades,Delhi,Urban,Medium,0,0,0,17,1,17,3,2,1
Technology,Odisha,Urban,High,9,149,3,3,16,2,3,2,4
Creative Arts,Maharashtra,Urban,High,0,0,0,14,9,5,3,4,1
Data Science,West Bengal,Semi-Urban,High,6,93,2,8,22,0,5,1,2
Business,Madhya Pradesh,Rural,Medium,0,0,1,12,5,1,2,4,3
Skilled Trades,Rajasthan,Semi-Urban,Low,0,0,0,20,2,22,5,2,2
Creative Arts,Gujarat,Urban,High,2,0,0,7,21,5,2,5,1
Skilled Trades,West Bengal,Rural,Low,0,0,0,13,5,18,1,4,0
Data Science,Maharashtra,Urban,High,6,103,1,4,20,0,3,2,4
Skilled Trades,Gujarat,Urban,Low,0,0,0,16,4,22,0,4,1
Skilled Trades,Kerala,Urban,High,0,0,0,18,10,20,2,2,2
Business,West Bengal,Urban,High,0,0,3,4,8,1,2,5,0
Skilled Trades,Madhya Pradesh,Rural,Low,0,0,0,11,0,24,0,1,3
Social & Community Work,West Bengal,Semi-Urban,High,0,0,0,9,4,26,3,2,1
Data Science,Gujarat,Rural,Medium,4,93,3,7,19,0,2,3,4
Data Science,Maharashtra,Semi-Urban,Medium,5,106,2,9,26,0,5,1,4
Technology,Gujarat,Semi-Urban,Medium,10,151,1,0,8,0,1,0,1
Technology,Bihar,Urban,High,11,156,2,2,13,1,5,2,2
Technology,Odisha,Urban,High,15,143,4,7,17,0,7,0,1
Business,Gujarat,Semi-Urban,Medium,0,0,2,8,10,3,1,2,0
Skilled Trades,Bihar,Urban,High,0,0,0,20,5,22,0,8,4
Data Science,Punjab,Rural,Low,5,99,3,8,17,0,1,4,2
Business,West Bengal,Urban,High,0,0,0,9,11,2,2,1,2
Business,Other,Semi-Urban,Medium,0,0,0,10,18,3,2,2,1
Technology,Delhi,Urban,Medium,7,144,3,4,13,0,1,6,5
Skilled Trades,Odisha,Urban,High,0,0,0,12,5,17,4,5,2
Technology,Gujarat,Semi-Urban,Medium,5,155,4,5,16,2,3,4,0
Technology,Odisha,Semi-Urban,Medium,7,150,2,3,15,0,5,2,2
Technology,Telangana,Semi-Urban,Low,9,145,3,5,12,1,3,3,4
Skilled Trades,Gujarat,Rural,Low,0,0,0,19,4,16,1,3,0
Technology,Rajasthan,Semi-Urban,Low,3,136,5,7,20,3,3,2,2
Social & Community Work,West Bengal,Urban,High,0,0,0,11,8,18,6,3,1
Business,Karnataka,Semi-Urban,High,0,0,0,9,17,2,6,2,6
Social & Community Work,Odisha,Rural,Low,0,0,0,9,5,9,0,4,1
Business,Bihar,Rural,Low,0,0,0,10,17,2,4,2,2
Creative Arts,Tamil Nadu,Urban,High,0,0,0,10,7,4,3,2,4
Data Science,Odisha,Semi-Urban,Medium,7,106,5,10,11,0,1,0,1
Skilled Trades,Other,Urban,High,0,0,0,15,3,14,0,3,1
Social & Community Work,Telangana,Rural,Low,0,0,0,12,12,15,2,4,3
Social & Community Work,Delhi,Urban,High,0,0,0,10,10,14,5,4,1
Skilled Trades,Gujarat,Urban,High,0,0,0,19,4,27,2,2,3
Technology,Telangana,Urban,High,10,160,1,7,19,1,0,4,3
Social & Community Work,Gujarat,Urban,High,0,0,0,12,12,21,2,1,2
Data Science,Tamil Nadu,Urban,High,4,81,6,13,18,0,1,2,1
Business,West Bengal,Rural,High,0,0,1,11,13,4,2,4,3
Social & Community Work,West Bengal,Urban,Medium,0,0,0,8,4,12,2,5,0
Technology,Uttar Pradesh,Urban,High,11,141,5,4,9,1,3,4,2
Technology,Uttar Pradesh,Urban,High,8,139,2,5,21,5,5,3,3
Creative Arts,West Bengal,Semi-Urban,Medium,1,0,0,9,13,9,4,2,3
Technology,Odisha,Semi-Urban,High,7,147,4,8,13,0,5,6,1
Technology,Other,Semi-Urban,Medium,10,139,4,6,15,0,2,1,4
Technology,Karnataka,Urban,Low,3,170,1,7,2,2,2,2,2
Business,Bihar,Urban,Low,0,0,2,9,8,3,5,2,1
Technology,Bihar,Rural,Low,7,149,1,3,19,2,4,7,2
Creative Arts,Rajasthan,Urban,High,4,0,0,14,4,7,0,1,2
Data Science,Delhi,Urban,High,6,102,4,6,20,0,5,4,1
Social & Community Work,Uttar Pradesh,Urban,Low,0,0,0,5,4,13,0,2,4
Technology,Maharashtra,Urban,Medium,7,156,2,4,10,1,1,5,2
Business,Kerala,Semi-Urban,High,0,0,0,13,7,4,6,4,2
Data Science,Punjab,Semi-Urban,High,6,120,0,3,21,0,4,3,4
Creative Arts,Uttar Pradesh,Rural,Medium,0,0,0,9,17,3,4,6,4
Creative Arts,Tamil Nadu,Urban,Medium,1,0,0,12,15,3,3,5,3
Skilled Trades,Rajasthan,Semi-Urban,High,0,0,0,9,1,25,1,3,1
Technology,Odisha,Urban,Medium,11,137,1,7,17,1,4,2,1
Skilled Trades,Punjab,Rural,Low,0,0,0,9,2,15,5,3,3
Creative Arts,Telangana,Urban,High,2,0,0,18,8,6,1,2,2
Skilled Trades,Punjab,Urban,High,0,0,0,16,7,20,6,1,4
Data Science,West Bengal,Rural,Low,6,116,2,7,26,0,2,3,4
Data Science,Madhya Pradesh,Semi-Urban,High,3,105,3,7,16,0,2,6,2
Skilled Trades,Odisha,Urban,Medium,0,0,0,8,1,22,3,1,2
Technology,West Bengal,Rural,Low,10,158,0,6,19,1,3,4,1
Business,Kerala,Semi-Urban,Low,0,0,0,7,10,2,5,3,2
Skilled Trades,West Bengal,Urban,Medium,0,0,0,9,6,18,2,1,1
Business,Rajasthan,Semi-Urban,Medium,0,0,1,8,5,0,4,4,1
Technology,Odisha,Urban,High,7,165,6,4,17,1,1,3,1
Data Science,Gujarat,Urban,High,12,92,4,6,31,0,0,3,1
Business,Uttar Pradesh,Urban,High,0,0,1,5,8,0,3,1,1
Social & Community Work,Telangana,Rural,Medium,0,0,0,12,8,18,3,4,5
Business,Telangana,Semi-Urban,High,0,0,1,8,7,3,3,2,2
Social & Community Work,Bihar,Urban,Low,0,0,0,15,9,15,4,2,3
Data Science,Bihar,Urban,High,5,104,5,4,18,0,2,5,2
Skilled Trades,Karnataka,Urban,Medium,0,0,0,10,6,11,2,1,2
Creative Arts,Tamil Nadu,Urban,High,1,5000,0,0,0,7,5,1,2
Business,Gujarat,Urban,High,0,0,0,4,11,1,2,4,1
Creative Arts,Delhi,Urban,High,0,0,0,19,12,7,2,3,5
Data Science,Kerala,Rural,Low,4,109,2,6,26,0,0,3,1
Business,Odisha,Semi-Urban,High,0,0,1,7,7,3,5,1,3
Skilled Trades,Tamil Nadu,Urban,High,0,0,0,20,5,15,2,1,0
Technology,Telangana,Semi-Urban,High,8,151,0,4,13,0,3,2,6
Skilled Trades,Karnataka,Urban,High,0,0,0,17,7,18,2,2,1
Technology,West Bengal,Semi-Urban,Medium,6,146,0,7,13,0,3,1,1
Business,Odisha,Urban,High,0,0,1,10,10,4,3,1,8
Technology,Karnataka,Urban,High,7,172,0,6,17,3,3,2,4
Social & Community Work,Other,Urban,High,0,0,0,11,4,12,1,2,0
Skilled Trades,Bihar,Semi-Urban,Medium,0,0,0,18,3,25,3,1,3
Business,Karnataka,Semi-Urban,Low,0,0,3,8,6,7,1,0,2
Business,Kerala,Urban,High,0,0,2,8,6,1,6,5,3
Skilled Trades,Bihar,Rural,High,0,0,0,18,4,20,0,2,3
Skilled Trades,Karnataka,Urban,High,0,0,0,13,1,14,6,2,1
Social & Community Work,Maharashtra,Rural,Low,0,0,0,6,4,15,3,1,4
Social & Community Work,Uttar Pradesh,Semi-Urban,Medium,0,0,0,12,8,18,4,1,1
Creative Arts,Madhya Pradesh,Semi-Urban,Medium,2,0,0,9,7,5,1,2,3
Social & Community Work,Rajasthan,Semi-Urban,High,0,0,0,16,8,16,5,0,3
Creative Arts,Uttar Pradesh,Urban,High,0,5000,0,0,0,4,5,3,1
Social & Community Work,West Bengal,Urban,High,0,0,0,8,4,16,0,3,0
Business,West Bengal,Semi-Urban,Medium,0,0,0,6,10,2,3,4,5
Data Science,Other,Rural,Medium,4,97,2,4,23,0,4,2,2
Technology,Uttar Pradesh,Urban,High,13,156,2,4,13,1,4,6,3
Social & Community Work,Punjab,Urban,High,0,0,0,8,7,18,6,2,1
Creative Arts,Kerala,Urban,Medium,0,0,0,9,11,8,5,3,2
Creative Arts,Kerala,Rural,Low,0,0,0,20,16,8,0,3,6
Creative Arts,Rajasthan,Rural,Low,1,0,0,5,11,4,2,4,3
Creative Arts,Madhya Pradesh,Urban,High,0,0,0,10,0,0,4,5,4
Skilled Trades,Madhya Pradesh,Rural,Medium,0,0,0,12,5,25,3,1,2
Skilled Trades,Kerala,Urban,High,0,0,0,27,4,15,3,4,2
Social & Community Work,Karnataka,Urban,High,0,0,0,10,3,24,0,6,1
Creative Arts,Rajasthan,Urban,High,1,0,0,9,17,4,3,2,1
Social & Community Work,Delhi,Urban,High,0,0,0,10,14,12,0,0,0
Social & Community Work,Odisha,Rural,Low,0,0,0,8,5,21,4,1,1
Creative Arts,Madhya Pradesh,Rural,Low,0,0,0,15,13,10,1,1,3
Business,Maharashtra,Urban,Medium,0,0,0,7,9,2,2,3,1
Data Science,Kerala,Urban,High,5,111,1,7,24,0,1,4,3
Creative Arts,Madhya Pradesh,Urban,High,1,0,0,14,8,5,0,3,0
Creative Arts,Punjab,Urban,High,0,0,0,13,12,4,0,1,3
Technology,Punjab,Urban,High,4,177,1,3,12,0,4,6,2
Social & Community Work,Uttar Pradesh,Urban,Medium,0,0,0,14,9,22,0,4,0
Skilled Trades,Gujarat,Rural,Low,0,0,0,12,3,16,2,5,3
Technology,Maharashtra,Semi-Urban,High,13,156,0,7,20,0,2,2,1
Data Science,Odisha,Urban,High,7,94,1,9,26,0,3,3,0
Business,Uttar Pradesh,Rural,Low,0,0,1,8,8,2,4,1,1
Social & Community Work,Gujarat,Semi-Urban,High,0,0,0,6,8,18,1,2,1
Skilled Trades,Karnataka,Rural,Low,0,0,0,21,5,12,2,2,2
Skilled Trades,Tamil Nadu,Rural,Medium,0,0,0,10,4,22,1,4,1
Data Science,Bihar,Rural,High,1,98,4,5,17,0,0,4,2
Technology,Maharashtra,Urban,High,8,185,1,2,6,2,3,2,2
Business,West Bengal,Urban,High,0,0,1,11,10,4,5,2,0
Technology,Bihar,Urban,High,15,152,1,8,13,1,2,2,2
Technology,Rajasthan,Urban,High,6,128,4,4,16,4,5,4,2
Social & Community Work,Punjab,Semi-Urban,Low,0,0,0,7,10,14,3,8,2
Skilled Trades,Maharashtra,Rural,High,0,0,0,13,5,23,1,5,2
Social & Community Work,West Bengal,Urban,High,0,0,0,13,8,18,0,2,4
Business,Bihar,Semi-Urban,Medium,0,0,2,10,12,1,2,5,4
Creative Arts,West Bengal,Urban,High,1,0,0,17,11,7,5,3,6
Business,Tamil Nadu,Semi-Urban,Medium,0,0,1,8,4,1,2,4,1
Social & Community Work,Other,Urban,High,0,0,0,13,8,19,5,7,5
Creative Arts,Maharashtra,Semi-Urban,High,1,0,0,17,14,5,0,1,3
Business,Maharashtra,Urban,High,0,0,1,11,3,4,4,1,1
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,15,2,16,3,2,1
Business,West Bengal,Semi-Urban,Medium,0,0,0,3,6,4,3,6,0
Business,Punjab,Semi-Urban,High,0,0,1,5,10,1,0,3,2
Creative Arts,Maharashtra,Semi-Urban,Low,0,0,0,13,11,6,3,1,2
Creative Arts,Gujarat,Urban,Low,0,0,0,7,13,9,3,1,1
Social & Community Work,Maharashtra,Semi-Urban,High,0,0,0,12,7,13,4,3,3
Social & Community Work,Telangana,Urban,High,0,0,0,9,9,15,1,3,1
Business,Telangana,Urban,High,0,0,2,9,12,2,5,3,0
Skilled Trades,Tamil Nadu,Semi-Urban,Medium,0,0,0,17,5,15,0,1,2
Social & Community Work,Delhi,Semi-Urban,Medium,0,0,0,17,8,22,5,4,2
Social & Community Work,Odisha,Urban,High,0,0,0,8,9,18,2,5,1
Data Science,Odisha,Urban,Medium,3,105,2,3,15,0,1,2,3
Creative Arts,Uttar Pradesh,Semi-Urban,Medium,5,0,0,14,5,4,1,4,0
Social & Community Work,Kerala,Rural,Medium,0,0,0,10,7,18,5,1,1
Social & Community Work,Gujarat,Urban,High,0,0,0,5,5,11,4,4,1
Creative Arts,West Bengal,Rural,Low,2,0,0,8,15,7,3,3,1
Data Science,Odisha,Rural,Medium,9,94,3,4,22,0,3,4,0
Data Science,Tamil Nadu,Rural,Low,6,101,1,4,20,0,4,4,4
Business,Rajasthan,Semi-Urban,Medium,0,0,0,4,7,1,2,1,3
Social & Community Work,Punjab,Semi-Urban,High,0,0,0,20,7,9,2,0,1
Business,Telangana,Semi-Urban,Medium,0,0,0,7,14,1,2,5,4
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,17,4,23,0,5,5
Business,Karnataka,Urban,High,0,0,2,11,11,3,2,1,0
Creative Arts,Odisha,Urban,High,0,0,0,9,12,5,6,4,2
Data Science,Rajasthan,Urban,High,7,108,7,5,22,0,1,2,3
Social & Community Work,Karnataka,Rural,Medium,0,0,0,11,4,20,5,4,3
Social & Community Work,Other,Semi-Urban,Low,0,0,0,12,7,18,3,3,2
Social & Community Work,Odisha,Rural,Low,0,0,0,5,5,11,1,3,2
Data Science,Tamil Nadu,Semi-Urban,Medium,5,86,5,8,22,0,6,3,0
Creative Arts,Bihar,Urban,High,1,0,0,12,8,2,1,3,2
Business,Bihar,Semi-Urban,Low,0,0,3,7,12,4,2,3,2
Technology,Kerala,Semi-Urban,High,5,132,1,1,15,0,4,1,3
Social & Community Work,Other,Rural,Medium,0,0,0,10,5,15,3,0,0
Technology,Maharashtra,Semi-Urban,Medium,8,161,4,7,13,0,4,2,2
Technology,Telangana,Semi-Urban,High,11,151,3,5,17,0,5,2,0
Creative Arts,Uttar Pradesh,Semi-Urban,High,0,0,0,13,15,5,3,4,3
Technology,Karnataka,Rural,Low,6,164,4,4,6,1,0,2,2
Data Science,Madhya Pradesh,Semi-Urban,High,4,97,3,2,15,0,4,3,1
Business,Punjab,Urban,High,0,5000,0,0,0,1,2,0,2
Skilled Trades,Punjab,Urban,High,0,0,0,19,3,19,2,4,0
Technology,Other,Rural,Medium,7,155,1,3,9,0,3,8,1
Data Science,Tamil Nadu,Rural,Low,8,119,6,7,24,0,4,1,3
Technology,Punjab,Semi-Urban,Medium,6,138,1,11,18,2,4,0,1
Social & Community Work,Telangana,Rural,Low,0,0,0,10,5,14,2,2,2
Social & Community Work,Odisha,Urban,Medium,0,0,0,12,10,11,4,2,0
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,20,7,8,4,2,2
Creative Arts,Tamil Nadu,Urban,High,1,0,0,11,12,7,4,1,1
Data Science,West Bengal,Urban,High,9,104,2,3,14,0,3,1,1
Creative Arts,Kerala,Semi-Urban,Medium,0,0,0,11,10,3,4,5,2
Data Science,Rajasthan,Rural,Low,5,97,5,7,22,0,1,2,2
Data Science,Telangana,Semi-Urban,High,5,94,2,3,8,0,5,1,2
Creative Arts,Bihar,Semi-Urban,High,1,0,0,10,9,4,0,5,7
Social & Community Work,Gujarat,Rural,Low,0,0,0,6,9,15,1,0,3
Data Science,Maharashtra,Semi-Urban,Medium,7,96,5,4,23,0,1,6,2
Business,Gujarat,Rural,Low,0,0,1,7,5,4,2,1,5
Business,Tamil Nadu,Urban,High,0,0,0,7,7,1,0,1,3
Creative Arts,Maharashtra,Rural,Low,1,0,0,15,15,1,5,1,2
Technology,Tamil Nadu,Urban,High,13,156,3,3,20,1,2,4,2
Creative Arts,Uttar Pradesh,Rural,Low,1,0,0,9,11,1,3,3,3
